,year,documentary,film-noir,short,comedy,drama,romance,talkshow
51,1946,262.5158150851581,1080.5862068965516,439.7016129032258,554.3483146067416,909.5697503671072,850.8682634730538,0.0
52,1947,170.01869158878506,2142.875,543.599173553719,780.1495934959349,1894.6967509025271,911.8834355828221,12.272727272727273
53,1948,2150.2906403940888,1202.9811320754718,2159.9394736842105,748.705794947994,745.6341463414634,1938.9060773480662,26.558441558441558
54,1949,243.64150943396226,1632.5074626865671,286.13392857142856,1086.9043392504932,898.7489740082079,542.962441314554,19.04901960784314
55,1950,356.5708884688091,819.0461538461539,478.575,461.7130434782609,1323.969,6489.689814814815,19.57560975609756
56,1951,247.2041884816754,15083.807692307691,445.74011976047905,823.6771799628942,827.4571763785686,1389.6433823529412,9.172757475083056
57,1952,307.5729813664596,510.44117647058823,440.3421965317919,626.560623556582,603.5705841446453,2623.776595744681,10.083333333333334
58,1953,214.35416666666666,3449.8125,384.1723768736617,493.0238922675934,988.6420055029043,700.6498422712933,198.43636363636364
59,1954,1454.9204851752022,1865.4285714285713,1296.599569429494,815.376301615799,931.7480765003297,1258.751984126984,7.819444444444445
60,1955,535.31744312026,381.14814814814815,643.4990892531877,390.8920220082531,735.8369912635841,1922.41642228739,25.32515337423313
61,1956,279.1389578163772,492.0416666666667,361.37125748502996,328.0213845596231,769.1613696944843,866.3663551401869,60.125
62,1957,1555.5581395348838,2373.375,388.1908931698774,503.1261451726568,512.5766052129688,645.4029126213592,80.81341719077568
63,1958,1213.0406582768635,1557.5555555555557,525.985046728972,631.4588586595886,581.1670875420875,1513.848275862069,4.369747899159663
64,1959,265.06368821292773,0,314.2003948667325,552.5101772816809,1161.0395383628982,2070.4358288770054,1.5776515151515151
65,1960,546.0791912384162,0,396.56089193825045,341.96921749136936,562.7197059992054,269.2180293501048,7.478555304740406
66,1961,434.17067988668555,0,530.2341723874905,950.460839347768,579.6585039219437,572.812015503876,53.139318885448915
67,1962,261.97992227979273,0,620.7901234567901,588.5065490510559,533.8559381588194,553.5401869158878,96.86346153846154
68,1963,222.17833632555357,0,369.97734627831716,417.8815165876777,724.1078729002227,193.85714285714286,5.9737206085753805
69,1964,241.351367781155,0,620.9775208734746,466.72815053231,732.5017615427406,167.3685360524399,33.565745856353594
70,1965,224.54689564068693,0,739.9053414469236,532.1810126582278,327.1388973966309,48.5359477124183,71.86476540938362
71,1966,125.2142403051494,0,277.7289353363814,723.8838595716494,441.29048171793386,168.1608715808994,9.196774193548388
72,1967,262.5581260844419,0,852.1609065155808,750.2075630252101,679.502399520096,413.0030432136336,9.905602455871067
73,1968,719.8985005767013,0,979.8629961587708,498.1805494984736,579.3926877772678,55.31791285637439,80.38510638297872
74,1969,528.2746736292428,0,669.4748502994012,498.31782197335394,640.9797755741128,116.24989874443095,92.58194364577344
75,1970,614.659595959596,0,425.15451174289245,457.5514313919052,437.99137343927356,101.5503466490591,41.98092643051771
76,1971,572.6403075233388,0,314.0,522.9778718491438,449.7518454848822,25.358902717805435,135.35895576504714
77,1972,177.26027397260273,0,583.7799331103679,620.7995969957868,412.978668261563,195.74825174825176,344.12418772563177
78,1973,335.82118055555554,0,504.49389416553595,662.0699407281965,783.352488645843,102.20084332001775,30.356435643564357
79,1974,1401.122591943958,0,1438.556077904634,500.144382219111,414.4800771208226,174.54842219804135,47.785878741366076
80,1975,374.5770474137931,0,667.1856177012908,415.45755945148414,513.0567626572408,136.74454988458578,231.54044867437116
81,1976,306.2795753286148,0,280.99624060150376,580.5159134869,424.0234300791557,219.36501901140684,89.55776045357902
82,1977,418.35113268608416,0,389.1553264604811,793.3036900369003,546.4280709204799,86.5280385078219,217.3307799442897
83,1978,522.3944618599791,0,740.0568039950062,710.941935483871,689.696657223796,253.89785694405788,9.615439599714081
84,1979,408.7885532591415,0,490.72963186481593,492.3058489033306,700.1694061187762,184.0075208913649,213.88569424964936
85,1980,718.8014112903226,0,567.3714448236633,602.9099733536353,666.5595288178376,234.29766949152543,51.607879924953096
86,1981,862.0754917597022,0,630.6018518518518,560.7397454031118,491.83559640693545,185.01883643299954,33.74497184231698
87,1982,324.56675324675325,0,232.3001293661061,510.9888150996155,501.2642509558568,125.92058165548099,28.94884372810091
88,1983,365.61918328584994,0,298.93439911797134,986.710559228158,516.9586452095808,165.55115808410164,21.612297181895816
89,1984,421.37087653157397,0,206.64285714285714,1137.28466367713,835.5442151107745,408.6002798507463,525.2959268495429
